               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.010511,            0.015994,           0.0048751,             0.98952,              0.9891,             0.99238,             0.90568,            0.011276,            0.022281,           0.0034253,            0.003565,            0.003565,            0.003565
                  67,            0.010736,            0.015594,             0.00423,             0.98712,             0.98869,             0.99269,             0.92597,            0.010239,            0.021686,           0.0034057,            0.003466,            0.003466,            0.003466
                  68,            0.010551,            0.014781,           0.0052182,             0.98584,             0.98877,             0.99361,             0.92445,            0.010274,            0.022198,           0.0034708,            0.003367,            0.003367,            0.003367
                  69,            0.010146,            0.015957,           0.0050186,             0.98403,             0.98829,             0.99437,             0.91993,           0.0099807,            0.021722,           0.0037125,            0.003268,            0.003268,            0.003268
                  70,           0.0098499,            0.015779,           0.0055203,             0.98883,             0.98954,             0.99434,              0.9284,            0.010309,            0.021897,           0.0026978,            0.003169,            0.003169,            0.003169
                  71,            0.010284,            0.015381,           0.0051486,               0.989,             0.98887,             0.99316,             0.92957,           0.0097028,            0.021709,           0.0018247,             0.00307,             0.00307,             0.00307
                  72,            0.010088,            0.016837,           0.0043028,             0.98474,             0.99373,             0.99308,             0.91557,            0.010923,            0.022209,            0.001817,            0.002971,            0.002971,            0.002971
                  73,            0.010087,            0.015688,           0.0049584,             0.98947,             0.98588,             0.99347,             0.93099,            0.010319,            0.021177,           0.0017004,            0.002872,            0.002872,            0.002872
                  74,           0.0092922,            0.014832,           0.0046192,             0.98783,             0.98713,             0.99334,               0.937,           0.0092615,            0.020039,           0.0016058,            0.002773,            0.002773,            0.002773
                  75,           0.0096445,            0.015225,           0.0042005,             0.99151,             0.99159,             0.99426,             0.94052,           0.0093244,            0.020945,           0.0014371,            0.002674,            0.002674,            0.002674
                  76,            0.009491,            0.014122,           0.0047797,             0.99198,             0.99172,             0.99438,             0.94164,           0.0097533,            0.020648,           0.0013575,            0.002575,            0.002575,            0.002575
                  77,            0.009081,            0.014326,           0.0054514,             0.99224,             0.99273,             0.99462,             0.94242,           0.0094728,            0.020077,           0.0012435,            0.002476,            0.002476,            0.002476
                  78,           0.0094026,            0.014019,           0.0044138,             0.99055,             0.99447,             0.99465,             0.92839,             0.01004,              0.0207,            0.001254,            0.002377,            0.002377,            0.002377
                  79,           0.0096022,            0.014317,           0.0046082,             0.99426,             0.99101,              0.9942,              0.9366,           0.0091772,            0.020512,           0.0019097,            0.002278,            0.002278,            0.002278
                  80,           0.0090233,            0.014772,           0.0049752,              0.9936,             0.99123,             0.99373,             0.94093,           0.0091976,            0.020084,           0.0019856,            0.002179,            0.002179,            0.002179
                  81,            0.008714,             0.01533,           0.0040995,             0.99204,             0.99124,             0.99369,             0.94166,           0.0091035,            0.020723,            0.002717,             0.00208,             0.00208,             0.00208
                  82,           0.0086933,            0.014795,           0.0045742,             0.99201,             0.99125,             0.99334,             0.93414,           0.0089871,            0.020969,            0.002906,            0.001981,            0.001981,            0.001981
                  83,           0.0088311,            0.014336,           0.0045103,              0.9922,             0.99126,             0.99382,             0.94385,           0.0086927,            0.020606,           0.0031462,            0.001882,            0.001882,            0.001882
                  84,           0.0084412,            0.015186,           0.0035276,             0.99173,             0.99131,             0.99354,             0.94319,           0.0089163,              0.0212,           0.0032456,            0.001783,            0.001783,            0.001783
                  85,           0.0081935,              0.0145,           0.0041896,              0.9916,             0.99131,             0.99366,             0.94624,            0.008965,            0.020969,            0.003139,            0.001684,            0.001684,            0.001684
                  86,           0.0084689,            0.014778,           0.0040818,             0.99214,             0.99127,             0.99312,             0.94447,           0.0087877,            0.020894,            0.002622,            0.001585,            0.001585,            0.001585
