epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,64703.2,0.40161,0.33175,0.89759,0.99345,0.99248,0.99432,0.924,0.34674,0.16673,0.78245,0.00042085,0.00042085,0.00042085
119,65237,0.39555,0.3267,0.89902,0.99334,0.99269,0.99422,0.92684,0.33944,0.16776,0.77735,0.0004159,0.0004159,0.0004159
120,65772.1,0.39736,0.33216,0.89782,0.99322,0.99265,0.99466,0.9268,0.34264,0.16232,0.77996,0.00041095,0.00041095,0.00041095
121,66306.1,0.39533,0.32591,0.89466,0.99377,0.99278,0.99442,0.92419,0.33767,0.16111,0.77566,0.000406,0.000406,0.000406
122,66840.6,0.39118,0.32352,0.89633,0.99656,0.99053,0.99467,0.9282,0.33748,0.1596,0.77681,0.00040105,0.00040105,0.00040105
123,67374,0.39624,0.33592,0.89673,0.99416,0.99243,0.99485,0.9237,0.34051,0.17357,0.77761,0.0003961,0.0003961,0.0003961
124,67932,0.38528,0.31817,0.88226,0.99459,0.99369,0.99446,0.92701,0.34177,0.15742,0.78094,0.00039115,0.00039115,0.00039115
125,68478.6,0.39367,0.32855,0.90142,0.99206,0.99623,0.99479,0.92835,0.34112,0.15754,0.77895,0.0003862,0.0003862,0.0003862
126,69011,0.38379,0.32457,0.88633,0.99392,0.99168,0.99457,0.92696,0.34124,0.16246,0.77741,0.00038125,0.00038125,0.00038125
127,69543,0.38302,0.3316,0.89406,0.99328,0.99416,0.99483,0.92933,0.33523,0.15958,0.7737,0.0003763,0.0003763,0.0003763
128,70075.3,0.38856,0.3276,0.89458,0.99576,0.9906,0.99444,0.92972,0.34167,0.16467,0.78028,0.00037135,0.00037135,0.00037135
129,70608.2,0.38774,0.32508,0.89277,0.99364,0.99248,0.99467,0.93126,0.33319,0.15629,0.7739,0.0003664,0.0003664,0.0003664
130,71140.9,0.3841,0.31476,0.88827,0.99593,0.99336,0.99478,0.92834,0.33381,0.15534,0.77257,0.00036145,0.00036145,0.00036145
131,71690.4,0.3919,0.33019,0.89663,0.99411,0.99377,0.99465,0.93092,0.33283,0.15791,0.77145,0.0003565,0.0003565,0.0003565
132,72247.9,0.38684,0.33361,0.89513,0.99467,0.99133,0.99369,0.92705,0.33449,0.16814,0.77385,0.00035155,0.00035155,0.00035155
133,72829.8,0.38347,0.32725,0.88742,0.99438,0.99209,0.99437,0.92877,0.33243,0.15758,0.77136,0.0003466,0.0003466,0.0003466
134,73498.4,0.38114,0.32192,0.89104,0.99563,0.99114,0.99399,0.92744,0.32904,0.15573,0.7712,0.00034165,0.00034165,0.00034165
135,74094.2,0.38376,0.33172,0.89684,0.99554,0.99332,0.99388,0.93009,0.33204,0.15932,0.77244,0.0003367,0.0003367,0.0003367
136,74626.7,0.38577,0.34384,0.89711,0.99477,0.99132,0.99421,0.93062,0.33179,0.16351,0.77356,0.00033175,0.00033175,0.00033175
137,75159.2,0.38051,0.33578,0.89421,0.99409,0.99494,0.99433,0.93279,0.33015,0.1565,0.77231,0.0003268,0.0003268,0.0003268
138,75691,0.37542,0.32321,0.89254,0.99478,0.99417,0.99428,0.93361,0.32832,0.15226,0.76823,0.00032185,0.00032185,0.00032185
139,76224,0.3765,0.32186,0.88699,0.99454,0.99526,0.99452,0.92976,0.3295,0.15078,0.77045,0.0003169,0.0003169,0.0003169
140,76755.3,0.37767,0.31334,0.88834,0.99599,0.99522,0.99402,0.9308,0.32663,0.15399,0.76909,0.00031195,0.00031195,0.00031195
141,77287.6,0.37338,0.32706,0.88357,0.99179,0.99685,0.99469,0.93303,0.32809,0.14858,0.76948,0.000307,0.000307,0.000307
142,77819.3,0.37024,0.29992,0.87479,0.99389,0.99566,0.99467,0.93339,0.32301,0.1537,0.76664,0.00030205,0.00030205,0.00030205
143,78352.6,0.37048,0.31587,0.88551,0.99509,0.99586,0.9945,0.93599,0.32681,0.14854,0.76847,0.0002971,0.0002971,0.0002971
144,78883.8,0.37048,0.3123,0.88335,0.99569,0.9949,0.99453,0.93434,0.32807,0.1507,0.77068,0.00029215,0.00029215,0.00029215
145,79416.2,0.37276,0.3288,0.88298,0.99602,0.99323,0.99395,0.93591,0.32484,0.15006,0.7682,0.0002872,0.0002872,0.0002872
146,79948.4,0.36906,0.30494,0.89265,0.99524,0.99334,0.99425,0.9356,0.32237,0.14798,0.76723,0.00028225,0.00028225,0.00028225
147,80480.9,0.37133,0.31344,0.88829,0.99533,0.99165,0.99421,0.93715,0.31922,0.15237,0.7661,0.0002773,0.0002773,0.0002773
148,81014.6,0.36311,0.3107,0.87536,0.99638,0.98977,0.99435,0.9375,0.3237,0.15678,0.77091,0.00027235,0.00027235,0.00027235
149,81548.6,0.36353,0.30019,0.87829,0.99573,0.98914,0.99458,0.93734,0.31757,0.1563,0.76572,0.0002674,0.0002674,0.0002674
150,82081.2,0.36322,0.32431,0.88606,0.9957,0.99034,0.99446,0.93763,0.31729,0.15392,0.76605,0.00026245,0.00026245,0.00026245
